fiscalDateEnding,reportedEPS,ReportType,reportedDate,estimatedEPS,surprise,surprisePercentage,reportTime
2014-06-30,0.32,Quarterly,2014-07-22,0.3075,0.0125,4.065,post-market
2014-03-31,0.415,Quarterly,2014-04-23,0.365,0.05,13.6986,post-market
2013-12-31,0.5175,Quarterly,2014-01-27,0.5025,0.015,2.9851,post-market
2013-09-30,0.295,Quarterly,2013-10-28,0.285,0.01,3.5088,post-market
2013-06-30,0.2675,Quarterly,2013-07-23,0.2625,0.005,1.9048,post-market
2013-03-31,0.36,Quarterly,2013-04-23,0.3575,0.0025,0.6993,post-market
2012-12-31,0.4925,Quarterly,2013-01-23,0.48,0.0125,2.6042,post-market
2012-09-30,0.31,Quarterly,2012-10-25,0.3125,-0.0025,-0.8,post-market
2012-06-30,0.3325,Quarterly,2012-07-24,0.37,-0.0375,-10.1351,post-market
2012-03-31,0.44,Quarterly,2012-04-24,0.3575,0.0825,23.0769,post-market
2011-12-31,0.495,Quarterly,2012-01-24,0.3625,0.1325,36.5517,post-market
2011-09-30,0.2525,Quarterly,2011-10-18,0.265,-0.0125,-4.717,post-market
2011-06-30,0.2775,Quarterly,2011-07-19,0.2075,0.07,33.7349,post-market
2011-03-31,0.2275,Quarterly,2011-04-20,0.1925,0.035,18.1818,post-market
2010-12-31,0.23,Quarterly,2011-01-18,0.1925,0.0375,19.4805,post-market
2010-09-30,0.165,Quarterly,2010-10-18,0.145,0.02,13.7931,post-market
2010-06-30,0.125,Quarterly,2010-07-20,0.11,0.015,13.6364,post-market
2010-03-31,0.12,Quarterly,2010-04-20,0.0875,0.0325,37.1429,post-market
2009-12-31,0.13,Quarterly,2010-01-25,0.075,0.055,73.3333,post-market
2009-09-30,0.065,Quarterly,2009-10-19,0.05,0.015,30,post-market
2009-06-30,0.0475,Quarterly,2009-07-21,0.0425,0.005,11.7647,post-market
2009-03-31,0.0475,Quarterly,2009-04-22,0.04,0.0075,18.75,post-market
2008-12-31,0.0625,Quarterly,2009-01-21,0.05,0.0125,25,post-market
2008-09-30,0.045,Quarterly,2008-10-21,0.04,0.005,12.5,post-market
2008-06-30,0.0425,Quarterly,2008-07-21,0.0375,0.005,13.3333,post-market
2008-03-31,0.0425,Quarterly,2008-04-23,0.0375,0.005,13.3333,post-market
2007-12-31,0.06,Quarterly,2008-01-22,0.06,0,0,pre-market
2007-09-30,0.04,Quarterly,2007-10-22,0.03,0.01,33.3333,pre-market
2007-06-30,0.03,Quarterly,2007-07-25,0.03,0,0,pre-market
2007-03-31,0.03,Quarterly,2007-04-25,0.02,0.01,50,pre-market
2006-12-31,0.04,Quarterly,2007-01-17,0.03,0.01,33.3333,pre-market
2006-09-30,0.02,Quarterly,2006-10-18,0.02,0,0,pre-market
2006-06-30,0.02,Quarterly,2006-07-19,0.02,0,0,pre-market
2006-03-31,0.02,Quarterly,2006-04-19,0.02,0,0,pre-market
2005-12-31,0.02,Quarterly,2006-01-18,0.02,0,0,pre-market
2005-09-30,0.01,Quarterly,2005-10-11,0.01,0,0,pre-market
2005-06-30,0.01,Quarterly,2005-07-13,0.01,0,0,pre-market
2005-03-31,0.01,Quarterly,2005-04-13,0.01,0,0,pre-market
2004-12-31,0.01,Quarterly,2005-01-12,0.01,0,0,pre-market
2004-09-30,0.02,Quarterly,2004-10-13,0.01,0.01,100,pre-market
2004-06-30,0.01,Quarterly,2004-07-14,0.01,0,0,pre-market
2004-03-31,0.01,Quarterly,2004-04-14,0.01,0,0,pre-market
2003-12-31,0.01,Quarterly,2004-01-14,0.01,0,0,pre-market
2003-09-30,0.01,Quarterly,2003-10-15,None,None,None,pre-market
2003-06-30,0.0009,Quarterly,2003-07-16,None,None,None,pre-market
2003-03-31,0.0007,Quarterly,2003-04-16,None,None,None,pre-market
2002-12-31,-0.0004,Quarterly,2003-01-15,None,None,None,pre-market
2002-09-30,-0.0022,Quarterly,2002-10-16,None,None,None,pre-market
2002-06-30,0.01,Quarterly,2002-07-16,0.01,0,0,pre-market
2002-03-31,0.002,Quarterly,2002-04-18,None,None,None,pre-market
2001-12-31,0.01,Quarterly,2002-01-16,0.01,0,0,pre-market
2001-09-30,0.0034,Quarterly,2001-10-18,None,None,None,pre-market
2001-06-30,0.003,Quarterly,2001-07-18,None,None,None,pre-market
2001-03-31,0.01,Quarterly,2001-04-18,None,None,None,pre-market
2000-12-31,-0.0097,Quarterly,2000-12-31,None,None,None,pre-market
2000-09-30,0.01,Quarterly,2000-10-18,0.01,0,0,pre-market
2000-06-30,0.01,Quarterly,2000-07-18,0.01,0,0,pre-market
2000-03-31,0.01,Quarterly,2000-04-19,0.01,0,0,pre-market
1999-12-31,0.01,Quarterly,2000-01-19,0.01,0,0,pre-market
1999-09-30,0.02,Quarterly,1999-10-13,0.02,0,0,pre-market
1999-06-30,0.01,Quarterly,1999-07-14,0.01,0,0,pre-market
1999-03-31,0.01,Quarterly,1999-04-14,0.01,0,0,pre-market
1998-12-31,0.01,Quarterly,1999-01-13,0.01,0,0,pre-market
1998-09-30,0.01,Quarterly,1998-10-14,0.02,-0.01,-50,pre-market
1998-06-30,0.01,Quarterly,1998-07-15,0.01,0,0,pre-market
1998-03-31,0.01,Quarterly,1998-04-15,0.01,0,0,pre-market
1997-12-31,0.01,Quarterly,1998-01-14,0.01,0,0,pre-market
1997-09-30,-0.0114,Quarterly,1997-10-15,None,None,None,pre-market
1997-06-30,-0.02,Quarterly,1997-07-16,-0.02,0,0,pre-market
1997-03-31,-0.05,Quarterly,1997-04-16,-0.04,-0.01,-25,pre-market
1996-12-31,-0.03,Quarterly,1997-01-15,-0.02,-0.01,-50,pre-market
1996-09-30,0.0018,Quarterly,1996-10-16,-0.01,0.0118,118,pre-market
1996-06-30,-0.02,Quarterly,1996-07-17,-0.04,0.02,50,pre-market
1996-03-31,-0.07,Quarterly,1996-04-17,-0.05,-0.02,-40,pre-market
